Id,R,Nome,Squadra,Qt.I,FVM
7071,A,Esposito F.P.,Inter,18,110
531,A,Berardi,Sassuolo,18,106
6435,A,Krstovic,Atalanta,17,90
5995,A,De Ketelaere,Atalanta,16,86
6675,A,Dovbyk,Bologna,16,40
7023,A,Pellegrino M.,Fiorentina,16,57
309,A,Dybala,Roma,16,113
6060,A,Laurient ,Sassuolo,16,81
5734,A,Soul ,Roma,15,55
6967,A,Diao,Como,14,70
7351,A,Santos A.,Napoli,14,55
6572,A,Castro S.,Roma,14,60
2061,A,Simeone,Torino,14,63
5694,A,Beto,Fiorentina,14,52
4371,A,Raspadori,Atalanta,13,50
4463,A,Esposito Se.,Sassuolo,13,45
7484,A,Adams A.,Venezia,12,36
5436,A,Raimondo,Frosinone,11,60
7347,A,Bowie,Sassuolo,11,34
2038,A,Pinamonti,Lazio,11,51
6646,A,Adams C.,Torino,11,27
7547,A,Kevin Carlos,Cagliari,11,25
7554,A,Romero D.,Parma,11,35
4923,A,Colombo,Genoa,10,51
6904,A,Yeboah J.,Venezia,10,30
6229,A,Tour  E.,Parma,10,30
4896,A,Maldini,Cagliari,9,28
4359,A,Piccoli,Bologna,9,43
6530,A,Ghedjemis,Frosinone,9,26
6204,A,Kvernadze,Frosinone,9,38
2155,A,Cutrone,Monza,9,17
7600,A,Osmajic,Genoa,9,31
7612,A,Bobcek,Frosinone,9,13
6164,A,Vitinha O.,Genoa,8,12
6669,A,Bonny,Inter,8,18
6556,A,Noslin,Lazio,8,15
5029,A,Geubbels,Lecce,8,18
7374,A,Mendy P.,Cagliari,7,16
7252,A,Stulic,Lecce,7,11
7523,A,Varela G.,Monza,7,37
7449,A,Rrahmani Al.,Venezia,7,12
7620,A,Zeballos,Monza,7,21
7623,A,Gnonto,Fiorentina,7,20
2832,A,Boga,Juventus,6,23
608,A,Zapata D.,Torino,6,12
7272,A,Gueye,Udinese,6,10
7546,A,Robinson J.,Monza,6,13
5918,A,Sulemana K.,Atalanta,5,5
5882,A,Mota,Monza,5,8
6831,A,Neres,Napoli,5,18
7561,A,Lontani,Parma,5,17
7001,A,N'Dri,Lecce,4,10
6519,A,Camarda,Milan,4,15
7120,A,Lang,Napoli,4,13
7213,A,Frigan,Parma,4,6
4387,A,Adorante,Venezia,4,5
2012,A,Milik,Juventus,4,3
7602,A,Fatah,Lecce,4,8
7610,A,Birligea,Frosinone,4,7
6145,A,Ngonge,Monza,4,12
5336,A,Nzola,Cagliari,4,10
7453,A,Havel,Genoa,3,5
7162,A,Giovane,Napoli,3,3
6215,A,Lucca,Napoli,3,12
7342,A,Elphege,Parma,3,10
7349,A,Kulenovic,Torino,3,7
6822,A,Ekhator,Juventus,2,7
7482,A,Lauberbach,Venezia,2,1
7627,A,Enem,Bologna,2,4
7317,A,Trepy,Cagliari,1,1
7161,A,Bayo V.,Udinese,1,3
7408,A,Lisman,Venezia,1,1
7568,A,De Martis,Parma,1,1
7622,A,Robinho Junior,Genoa,1,2
